Episode,average_time,average_energy,average_time_local,average_energy_local,average_time_edge,average_energy_edge,average_time_random,average_energy_random
0,0.2717562154321693,0.019644295479829717,0.03361101379145224,0.12590966711549148,0.3170817435277351,0.025008738278268012,0.24060165659205004,0.050408687423605096
1,0.38503038687374974,0.02237664328386242,0.03306466365707172,0.1268302372305051,0.36271596761619007,0.024646684445249045,0.2771936802817845,0.0495758791316863
2,0.3754194533476627,0.02354587539667167,0.03429255376025537,0.13127578244352647,0.33972007983876745,0.02553586641081469,0.25981928371505414,0.05163324528200172
3,0.3866518469761655,0.022611624165037075,0.032805629704153697,0.12651852874684377,0.37185748992989714,0.024991373287315516,0.2950463652565168,0.051455794798123254
4,0.34468116801600357,0.019866835675514092,0.03201384214937997,0.12414149994591778,0.35509883763483807,0.023691009770325573,0.2732944195471261,0.046324622134418215
5,0.3665924465200128,0.023880129616411314,0.033353143236082995,0.12502531840590458,0.3289492738192621,0.025685180218794026,0.2561645352711722,0.051736696792189375
6,0.3036345214019792,0.02114370180080959,0.03340392429059841,0.1267402554129921,0.2902737074110491,0.024267045346737015,0.22139588616751632,0.04847902190731201
7,0.2645253055657627,0.019836727010503676,0.033370149491294125,0.12556676740199987,0.31205962254088,0.025278892888502595,0.2485481048008719,0.05097023973941553
8,0.31679599088421395,0.020802120097936076,0.03382791689972757,0.12952160670074037,0.3390813008615941,0.02511783129702266,0.27452598336199935,0.05205580116360584
9,0.38787740295020523,0.02256110153088496,0.03412409156796539,0.13029837509652498,0.36388007820809287,0.024814190111155255,0.2753863917012186,0.05217054987852276
10,0.36675903800936555,0.023487285934667767,0.0346334476053851,0.12962276561125885,0.3179676455583067,0.025186439357103997,0.25570705389078774,0.05098862571014126
11,0.3571774080612367,0.02252450043887596,0.03237486937515821,0.12264954498567167,0.3406585854671063,0.024788812467340254,0.25819526938719606,0.04798339964832577
12,0.34914325040656663,0.021679479842241788,0.03369787840880725,0.1286992318722576,0.3747335861765311,0.02607760765428581,0.28965183338108125,0.05076467859768712
13,0.2927327372112707,0.018545094850354472,0.03344854559458673,0.13009295114014297,0.35584489558208426,0.02479633534537359,0.2750960575215332,0.04991334432618967
14,0.2947751982042154,0.018648105829808265,0.03287041011541153,0.12813860430428098,0.3782379533371509,0.02530485264505741,0.2891660586236293,0.05262560772718198
15,0.3483728320878038,0.019811008719494986,0.0324974155655561,0.12626702245373386,0.33860864826851145,0.023056144306255504,0.25182355706591925,0.048685256500117145
16,0.2892639469481322,0.01883308142436434,0.033527667768905804,0.1291500736451293,0.34349045875303624,0.024662439034313522,0.2582500234517355,0.05158017883120161
17,0.33412300540681383,0.02187881533842424,0.034295288962068536,0.1286015527096896,0.3634795330944663,0.02632701532721215,0.2910587217045628,0.0525544579583224
18,0.39176136279309104,0.023949853452198185,0.03262375123317136,0.12386518967423188,0.35777719980178635,0.02578806776614108,0.27269139101634365,0.05226423967152099
19,0.3115768981404139,0.0216690524186361,0.033399669074913554,0.12416383377474724,0.3271464680956656,0.025470081150555237,0.2536219489362287,0.04917662952197825
20,0.29712353980558825,0.019241857081578335,0.035044737375893434,0.13137634181043534,0.35537817077408773,0.025524144913379534,0.27853482663180235,0.05276722380095325
21,0.33626482145053305,0.019980994236596404,0.03387520350937705,0.12984300340860624,0.3562738057047901,0.024364023634712132,0.2723406617216896,0.05069253382310364
22,0.3165984539964305,0.021886928958867728,0.033698250399351426,0.12688097398345854,0.3356525362596845,0.026009226426202476,0.25871536125014827,0.048462356794282006
23,0.2859843536984665,0.01889108467932473,0.03314289584742575,0.12772552739834933,0.36326676408162295,0.02530324993981575,0.2855550760021788,0.04968356344373069
24,0.3234818404032206,0.020278638728965893,0.03243280161283342,0.12342378786951522,0.3571412201481409,0.02470455951459401,0.2731747299809968,0.04858679890058037
25,0.2987006497280691,0.018540532480154814,0.032787191651563526,0.12711456397876542,0.34820065762681945,0.024236086575479123,0.25556759536717644,0.04922258667954405
26,0.28433313558750906,0.019197114379822758,0.03393050415276352,0.13005613963538576,0.3093608821507766,0.024200619489845553,0.23164007530825742,0.05025213606324091
27,0.3161683733220363,0.02004353908151006,0.03266514946091218,0.12637421684482028,0.32058655152957016,0.02366477654000704,0.250785169663451,0.04892441347905744
28,0.3782154236000508,0.022203484991785743,0.03322137891444054,0.13115458154626283,0.3362984299352205,0.023945182565160903,0.2545262389262114,0.04997438620091292
29,0.36764413281255587,0.022054276012602635,0.03173873089440105,0.1210021094402382,0.340968422203895,0.024156060191412424,0.26852018233611613,0.04830359351861427
30,0.3527828709098151,0.02291459944205559,0.03329702533729804,0.12598197406597844,0.36329090959018184,0.026477417153649537,0.2612308535824104,0.050517089874132524
31,0.2894093746629054,0.01898037029654477,0.03226533581815086,0.1235275210397138,0.35331816282332157,0.02492591133469085,0.2622580659073699,0.048773963213757654
32,0.37871281317021666,0.023481473910427358,0.03262242931058245,0.12468248319463474,0.3551608769507494,0.025607060016135795,0.2670123412588372,0.05037897040951349
33,0.28558808672990454,0.019768869486897257,0.033459791679949405,0.12596972995200906,0.34028634968040633,0.025541513405329612,0.25983511597378134,0.05121264431914944
34,0.3706672802695369,0.02372826239518122,0.0333293905589051,0.12807781991536196,0.3514037947693142,0.025990986992996977,0.2687238275461532,0.04844411736107651
35,0.2847006401105576,0.018865321777656194,0.033325029324820815,0.12751679774901928,0.37069604414734875,0.02559810451265991,0.2930066828220042,0.05188519340547427
36,0.3383341349300137,0.021869873243853276,0.03387581831242546,0.12824256734024442,0.3315028477570428,0.02532065400591964,0.2540778502923155,0.050634495926212546
37,0.3808488089144539,0.022105812388476923,0.033407188189165424,0.12856349486348995,0.35141907583450765,0.02431474945874917,0.28033712083420914,0.05128472664996212
38,0.28861262761317763,0.019058058515933896,0.035331732332422545,0.13547754187195282,0.359039397551064,0.025773510807685265,0.2954475864358094,0.05425958166008626
39,0.28271756482406335,0.018755031202546454,0.03231630314150579,0.12712359810334775,0.339057402925774,0.02446779188493244,0.25911214225960877,0.05078139401603932
40,0.38345976631316014,0.02354362666023976,0.034676749018541266,0.13058383296953355,0.3470533518534611,0.02559684549077165,0.2693278200828557,0.05127080499518483
41,0.28284295681337085,0.01667555093652096,0.03234191828061374,0.12517356065437282,0.3283735786520475,0.022299703527054706,0.25225320024258246,0.047746647246027285
42,0.3989143353330882,0.024200572407134368,0.03327505186948763,0.12704403266021544,0.35952917341627827,0.02589450398845648,0.2748303634932794,0.050327692061421965
43,0.29067649195025586,0.018869426968965528,0.03316052951368103,0.12897113467208088,0.3385473496165614,0.024520133667038747,0.25467352912878294,0.05111448503610006
44,0.3789405321051225,0.02223661808504439,0.03276199835672624,0.12569621089166724,0.3385383018605225,0.023970632351861115,0.2690083533627903,0.04949400023396766
45,0.3541338010716954,0.021285778818411098,0.032359131362877436,0.12611536973464654,0.3236025821756966,0.023103008564760007,0.2502347286717424,0.049874168502694605
46,0.29061546661847665,0.020387033611221808,0.03409838541694605,0.1272944463958908,0.33090970943605746,0.025825218151713028,0.2491230947022816,0.05232915471052575
47,0.3438407931198189,0.01990278204866072,0.032300009872881806,0.12678374687136404,0.3627048904407775,0.024024347302149886,0.2730006737586641,0.05013819381640318
48,0.38243136500335134,0.022034470453258844,0.03222794986556139,0.12399362016957277,0.3344583867224201,0.023664671975100488,0.24854317110226126,0.04816374875415112
49,0.2924020888553146,0.019465879478609564,0.03316057727739594,0.12681153212673282,0.372899971875573,0.025857463735790797,0.27906534917736475,0.05194353597380355
50,0.36212026381478146,0.022044735298660557,0.03282612765858756,0.12997271010483757,0.318228137135826,0.02356791629157554,0.2436056687565834,0.050669901709502765
51,0.3544771650706764,0.02323093140173923,0.03292051331837673,0.12488557100387923,0.3338977348985078,0.02531917009139048,0.25361332149220256,0.05009138670655543
52,0.33467229322984865,0.020549501793302092,0.0324727442798082,0.1262065864438162,0.3361117906551949,0.024051157170543895,0.2494850313928797,0.0490998094615038
53,0.3709564177532302,0.021242371613700985,0.0324340441004928,0.12744417643750575,0.32844714001169084,0.02296315753621753,0.24844231805042855,0.048589556391542055
54,0.32321694373274323,0.020260644618603486,0.033423767194480494,0.12840442077556044,0.3449228582274333,0.024526497258961947,0.27053478372815254,0.050527881280354625
55,0.37211115178082455,0.023802238457684883,0.034249173556341266,0.1293363130699576,0.34525153690623983,0.02588036555643235,0.26741906488201617,0.05095005903653231
56,0.35496405019405564,0.022370282203464736,0.03428673722115489,0.13388858350043678,0.3044895809555106,0.023958089346072613,0.23611105455840492,0.050370003380655594
57,0.28677972297483517,0.018540336323874366,0.033527670155668696,0.12763115519459609,0.3401130704660443,0.02439604799416358,0.26056271640554257,0.04967953787867845
58,0.3392209173068865,0.02038494509007128,0.03239107904288269,0.12627023231700768,0.3472826264026976,0.02418911821076625,0.2706738140575584,0.04957057835955953
59,0.3337463510038186,0.020799576814310355,0.031883675840444985,0.1241898161351541,0.3548520935357711,0.02472635582049381,0.2698064361001203,0.049715180560085705
60,0.37654603180695756,0.02346450496652326,0.03463910332409971,0.13218732909786896,0.34469790011749546,0.025542632065270725,0.25891265299005406,0.053896285227320664
61,0.28746470209536407,0.01945607130356928,0.03286948327249564,0.12938694757302527,0.3706222865830894,0.025983068678456702,0.2864647405154761,0.052098486591046704
62,0.3084876533769575,0.019957276090901012,0.03524909310312914,0.13360838939018452,0.33873655370135347,0.025331059748503953,0.24655552594063299,0.052537069197684215
63,0.3662005773432967,0.02390570065522071,0.034836373081754864,0.13045288971372773,0.34407809681227153,0.02619174987438594,0.26853260810232343,0.05225706339474305
