Episode,Reward
0,9.613387449658749
1,11.120254471117123
2,11.560263887076747
3,11.990768626284297
4,11.678443920960394
5,11.628282072573155
6,11.735507942280412
7,11.994675992367105
8,11.551579192207003
9,11.603603378865863
10,11.855256704911316
11,11.851678876700204
12,11.85567729883647
13,11.888291393851183
14,11.890325418026645
15,11.552044196348934
16,11.5874452755862
17,11.759526862816578
18,11.780254306949372
19,11.65600714021828
20,12.098240199610752
21,11.916466662015877
22,11.621833479510906
23,11.854783972801973
24,11.787758515881988
25,11.403941616239573
26,11.609695961478575
27,11.574096466181931
28,11.96622415731094
29,11.765542404494097
30,11.528398867205354
31,11.736401844286476
32,11.843634511735
33,11.88537573441186
34,11.546515057486738
35,11.779339243010845
36,11.507954363017811
37,11.867019554863871
38,11.667668146173924
39,11.679084085197704
40,11.715866751431854
41,12.095645283496266
42,11.996918951047768
43,11.751032544420404
44,11.873509270908253
45,11.844311591078611
46,11.67385269157144
47,12.008907127480189
48,11.899465301395843
49,12.07990379005687
50,11.941558792834517
51,11.834300348402996
52,11.802283622732608
53,11.914702386702661
54,11.894948383818852
55,11.79617346862677
56,11.891430256752608
57,11.965133300740941
58,11.667786800409864
59,11.673222911670347
60,11.6199591575094
61,11.696096711845346
62,11.74393868914767
63,11.75424781826013
64,11.724322896481548
65,11.605162633012931
66,11.856095684981323
67,11.936061510954831
68,11.77498171439808
69,11.884056368947194
70,11.800783208385823
71,11.657031013388805
72,12.078843489056279
73,11.799510543939764
74,11.594820183270969
75,11.938385675636203
76,12.187830867648726
77,11.746770013883854
78,11.77303240971612
79,12.01227264185445
80,11.731187559105129
81,11.680444697442
82,11.722630006943838
83,11.93535219068431
84,11.836250595963035
85,12.079041807207643
86,11.797631163057627
87,11.720884852870624
88,11.462712101725272
89,11.829538009428331
90,11.92773184669677
91,11.672043693387337
92,11.897585573476682
93,12.06552722770164
94,11.896615200635129
95,11.886591926614976
96,11.969950801850146
97,11.8408898160973
98,11.868078744704809
99,11.686982734821086
