Episode,Reward
0,11.452735963258009
1,11.527700154039639
2,11.313559128759962
3,11.399833509979638
4,11.722776884907228
5,11.615330812731948
6,11.75815029567703
7,11.537363984469177
8,11.436880558923765
9,11.328264160918117
10,11.292499228580729
11,11.568873069959192
12,11.57498496428766
13,11.364633478475533
14,11.37516893635919
15,11.59842613357484
16,11.6535603191422
17,11.453072060554874
18,11.671876635673863
19,11.354718480129206
20,11.422356944769525
21,11.621043354483898
22,11.466744722266132
23,11.29969614359137
24,11.439526983511074
25,11.155725595633976
26,11.486178284120792
27,11.377745755505185
28,11.353085047636133
29,11.440459975915433
30,11.526163367910986
31,11.660605828895452
32,11.445850650101239
33,11.499302590282479
34,11.23036065835636
35,11.395291759431208
36,11.484450382649637
37,11.426477627799125
38,11.476826116023199
39,11.271179432436
40,11.363787421039277
41,11.43663211380652
42,11.652516794238277
43,11.41049345119309
44,11.527393887564662
45,11.361998095312552
46,11.334573789958526
47,11.583386946324795
48,11.550298916151036
49,11.587238931027946
50,11.420438032804377
51,11.297824473356322
52,11.566911684291927
53,11.420245681723696
54,11.728847932718605
55,11.562638427030134
56,11.52666581687348
57,11.3555290676079
58,11.349539946463835
59,11.459989854338248
60,11.565829385866564
61,11.566396728934055
62,11.503094720217748
63,11.377628141766657
64,11.548651848464651
65,11.631433123267586
66,11.390461179210813
67,11.45505548508531
68,11.63535906793011
69,11.59213616715828
70,11.489025074969392
71,11.359069209579994
72,11.503993355263379
73,11.60009481367587
74,11.542049599792533
75,11.634336170703126
76,11.436596895580669
77,11.545182697752722
78,11.526638440545478
79,11.553870331791511
80,11.59685862952731
81,11.64563281215517
82,11.410486233549712
83,11.363594882388947
84,11.39822840151784
85,11.604201350082702
86,11.524537237938778
87,11.488889006807216
88,11.517071817061058
89,11.353512562324106
90,11.646112287284259
91,11.568937491092658
92,11.585701482608808
93,11.621664618621441
94,11.42855257433328
95,11.35512383625239
96,11.261731596282466
97,11.508615476455466
98,11.541146219829185
99,11.349194992558239
