Episode,average_time,average_energy,average_time_local,average_energy_local,average_time_edge,average_energy_edge,average_time_random,average_energy_random
0,0.24905150899749726,0.3704111097344199,0.02140835912533389,0.13075376141470635,0.35325491481116283,0.07422810547219186,0.25646805247681076,0.0856982117934563
1,0.2652327978407751,0.3626421465206222,0.02152277804613935,0.13388846699585866,0.3477477746740752,0.07245743747987546,0.26657604829440407,0.08881926758562737
2,0.2557909247413419,0.3554306484414592,0.021006064796822294,0.12863289813437226,0.37749126599154903,0.0779863446566654,0.295569474899306,0.0915942434902934
3,0.2511328552163482,0.34365409125370916,0.02018767283759365,0.13121282009915572,0.3459479092411273,0.07082755558564703,0.270065513069533,0.08856525324739363
4,0.27150869731179567,0.3676181766765908,0.021518696845224197,0.13277479864655542,0.3861024471108082,0.07946810944329384,0.29107953018540655,0.09296796840174713
5,0.27733262471521536,0.36632883071431316,0.022078131009277878,0.13604425125246805,0.3331654622498275,0.07089668856065265,0.2631135659655666,0.08814371815215746
6,0.26554467963449285,0.3898997140492275,0.022442251645410617,0.1376603152277179,0.3996954452455706,0.08227695866478552,0.3008818823019399,0.09551710376865565
7,0.8345635818419588,0.3656720544646269,0.021023450659573756,0.13122833230892966,0.3321207974497167,0.06965377258040162,0.2554105127368305,0.08613171973491443
8,0.24960066574790468,0.3708976439918524,0.021293927084623014,0.12922360712828687,0.3524721575940729,0.07367629499636898,0.28107075076737,0.08879085808074942
9,0.26141394413860586,0.36384865046772363,0.021441602504115254,0.13218149604635362,0.37619753583685517,0.0779309474437027,0.2899534560999144,0.09152861270406433
