dag_type,average_time,average_energy,average_time_local,average_energy_local,average_time_edge,average_energy_edge,average_time_random,average_energy_random
linear,0.14356249981373548,0.038256250004656614,0.006,0.06875,0.17583333333333334,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.1369999999223898,0.053725,0.006,0.06875,0.17479166666666668,0.040383333333333334,0.1318125,0.047474999999999996
linear,0.17893749992238978,0.04663333333333333,0.006,0.06875,0.17583333333333334,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.17893749992238978,0.04663333333333333,0.006,0.06875,0.17583333333333334,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.2553888886094921,0.0884050000031044,0.011000000000000001,0.08750000000000001,0.23758333333333334,0.026925555555555553,0.17937499999999998,0.042069166666666664
linear,0.09506249992238978,0.060816666666666665,0.006,0.06875,0.176875,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.1369999999223898,0.053725,0.006,0.06875,0.17583333333333334,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.3059583331263727,0.07315805555555556,0.011000000000000001,0.08750000000000001,0.2382777777777778,0.026925555555555553,0.18215277777777775,0.042069166666666664
linear,0.17893749992238978,0.04663333333333333,0.006,0.06875,0.176875,0.040383333333333334,0.1318125,0.047474999999999996
linear,0.1369999999223898,0.053725,0.006,0.06875,0.17479166666666668,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.10162499981373549,0.045347916671323284,0.006,0.06875,0.17583333333333334,0.040383333333333334,0.1349375,0.047474999999999996
linear,0.1369999999223898,0.053725,0.006,0.06875,0.17479166666666668,0.040383333333333334,0.1318125,0.047474999999999996
linear,0.17893749992238978,0.04663333333333333,0.006,0.06875,0.17583333333333334,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.1369999999223898,0.053725,0.006,0.06875,0.17583333333333334,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.17893749992238978,0.04663333333333333,0.006,0.06875,0.18,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.3059583331263727,0.07315805555555556,0.011000000000000001,0.08750000000000001,0.23550000000000004,0.026925555555555553,0.17937499999999998,0.042069166666666664
linear,0.15668055505885017,0.08196333334264656,0.011000000000000001,0.08750000000000001,0.23758333333333334,0.026925555555555553,0.18076388888888886,0.042069166666666664
linear,0.3113055552761588,0.08367722222532664,0.011000000000000001,0.08750000000000001,0.23758333333333334,0.026925555555555553,0.17729166666666665,0.042069166666666664
linear,0.2636527773535086,0.06767666667287547,0.011000000000000001,0.08750000000000001,0.23619444444444446,0.026925555555555553,0.17937499999999998,0.042069166666666664
linear,0.17893749992238978,0.04663333333333333,0.006,0.06875,0.17479166666666668,0.040383333333333334,0.13285416666666666,0.047474999999999996
linear,0.1369999999223898,0.053725,0.006,0.06875,0.176875,0.040383333333333334,0.13285416666666666,0.047474999999999996
