Episode,average_time,average_energy,average_time_local,average_energy_local,average_time_edge,average_energy_edge,average_time_random,average_energy_random
0,0.23844870291992334,0.04468411798791895,0.02157681222042581,0.13435554483799805,0.34292684361169673,0.07172023338249475,0.2540027396217613,0.0871599624182683
1,0.23125261737426606,0.0440366417215402,0.021201049310744756,0.13003207419199947,0.33787008107107686,0.0711239162044227,0.24575359869723487,0.0837174612128744
2,0.21579414960417417,0.10749763176173804,0.016361111048964868,0.13469241649875413,0.20493779951747654,0.10749763176173804,0.15671660385378397,0.11486678553285205
3,0.29285313083434805,0.088828530463756,0.022115174650242736,0.13297879179663333,0.35926321010150236,0.07609536945404688,0.2845782521184164,0.09138261538534156
4,0.3133409679193328,0.09133510531686012,0.02110084216706769,0.12972498112176756,0.3574743777849936,0.0745697028380313,0.2675104217245186,0.08707562692653525
5,0.22152380666891452,0.10456868203983749,0.016268504817562177,0.13724921346293795,0.20876077918429595,0.10456868203983749,0.15790433066376197,0.11360117779620339
6,0.23096698989533285,0.042982972353402024,0.021351881299858284,0.13400758224339382,0.3599100768374223,0.074078140856661,0.2666554423555871,0.08926019840888336
7,0.2786276495220428,0.08598890432162021,0.02131322479511271,0.13060409412437401,0.34958762781020264,0.073380074583726,0.2740730785151696,0.0876451375319099
8,0.3026118427393277,0.08876915146405348,0.02092557907923391,0.13001856470554762,0.3572932417977798,0.07392031693198486,0.2826419702983021,0.0881275556094977
9,0.25375292254002574,0.04788808072710601,0.022077685445022206,0.13576749040041527,0.35662010214245177,0.07488630979556112,0.26730279964124753,0.0880866100941096
10,0.20423122453762718,0.10528292287429021,0.015819702757368652,0.12807088887758813,0.1940907367498986,0.10528292287429021,0.15189282102233737,0.11112425873103669
11,0.20234167865402083,0.10155064500323702,0.015828111032996035,0.13121951124943487,0.18956078427295095,0.10155064500323702,0.14875410886717053,0.10835106516410505
12,0.24282178036826563,0.11113656393453664,0.01615364932822521,0.1338252941145575,0.2293789707002997,0.11113656393453664,0.17469235347060036,0.11579222281411829
13,0.1913052126735271,0.09591242251556684,0.015864909547201538,0.13369477151869008,0.22170249256520472,0.10596832288812275,0.1762780000891603,0.11417054209211726
14,0.3039094074788363,0.08823435448136455,0.02086329206734432,0.1304840984363259,0.35175255569194896,0.07302125425905988,0.26968264261656827,0.08728712827806417
15,0.23287329069984336,0.04261870170071812,0.02052966555903849,0.13085668652175836,0.318029273971971,0.06630148153971753,0.24803715769594853,0.08415927074903726
16,0.21576591920233537,0.10249099677199289,0.015346782001354364,0.1271488065111986,0.2025231738993756,0.10249099677199289,0.16396808772389343,0.1082964133612632
17,0.22614515203404123,0.04294856556615946,0.021559411157132537,0.1327720907840728,0.32482587455466516,0.06885394058796648,0.25340426374475805,0.08717929391920858
18,0.21059559002906922,0.10453314959781562,0.016155645473215588,0.13402585340371298,0.19963106709641532,0.10453314959781562,0.15562692282573773,0.10977841966799748
19,0.30083087968954225,0.08825665517965303,0.021677140499111104,0.1344979837577559,0.34540866749085186,0.07232272101128898,0.25776389148765866,0.08877709562208465
20,0.16579793626075667,0.09066966036670185,0.015516746252959108,0.1299825508473681,0.18542897826821572,0.09838526149940481,0.14276044780548156,0.10453245009236756
21,0.22791097707815602,0.04346015202725277,0.02094532695244206,0.1278169067378473,0.34739599741984245,0.0727675619454935,0.26113504384016634,0.08548932510553763
22,0.28437237394840303,0.08589703292493152,0.021868706821522303,0.13503223656475327,0.3517661284857088,0.07339461721774826,0.2640672232392294,0.08728578113300507
23,0.2879338872576385,0.08662891785388968,0.021499342165536436,0.13294580111444484,0.3322103958012336,0.07030296231283284,0.25817222984362825,0.0849134813424013
24,0.22740405499050587,0.11104338177161119,0.016447265001855164,0.13440854137605052,0.21589161755614178,0.11104338177161119,0.16799022856408063,0.11852449722807419
25,0.2879262335889847,0.08678979988810125,0.022419406122929978,0.13489015766716836,0.35769169332416345,0.0753832480912075,0.28163752458973546,0.09323381970042659
26,0.17523862834124382,0.09721084060734685,0.015964338875181693,0.13054374679353226,0.20473111454163045,0.10692793296658809,0.14853665054720505,0.10953265954890179
27,0.23358709256748536,0.11024817993443853,0.016286442979890146,0.1345243283140336,0.22137338972072385,0.11024817993443853,0.16871271590967019,0.11359652219867572
28,0.31837620229798125,0.09237727173299384,0.020720460234630343,0.13152114940875032,0.3603054943921794,0.07406526065243466,0.27691058342005637,0.08845546965325406
29,0.19924839340338713,0.10431818488290243,0.01643384089239125,0.1352910214065034,0.187707424247774,0.10431818488290243,0.14335325735799168,0.1103981380459321
30,0.21540903146440213,0.1022488247391943,0.015780234094427484,0.1325206773097048,0.20131871988391248,0.1022488247391943,0.15993361490556687,0.11049947442090675
31,0.2999370982329667,0.08782931731784034,0.0208729793587907,0.12980809438870622,0.3541714872406039,0.07354378259557674,0.28532311733618265,0.09109968675789612
32,0.29169134681976894,0.08706181510468976,0.021552664562702037,0.13299577732617787,0.34572731006624674,0.07255840393673553,0.2753274818419109,0.0879407437027439
33,0.29236240970708416,0.0878822848687486,0.02088271462230834,0.1331515766738702,0.34229076576405837,0.07114926955537511,0.26295773886110185,0.08687351641772152
34,0.20919409447572762,0.10020004700983147,0.0158457576068836,0.13413573641105175,0.19509633312275307,0.10020004700983147,0.15565714598883879,0.11003552869693506
35,0.23393390965061892,0.10526081140948906,0.016000512400490316,0.13575256472859407,0.21887611680735128,0.10526081140948906,0.16967821241720202,0.11211617831028595
36,0.2941701843731018,0.08970996988163615,0.02124826131145847,0.13315320410238152,0.3535425093601375,0.07353618757720463,0.2793534477401463,0.09000864020757525
37,0.22097076362030793,0.10473084389236904,0.015491911413534211,0.12774553804566974,0.20880479531221105,0.10473084389236904,0.1691823764592356,0.1114841245764224
