Episode,Reward
0,2.917854892620466
1,2.937907449175753
2,2.896368388871931
3,2.94997712182208
4,2.9284685724461497
5,2.889755146827646
6,2.936312767922155
7,2.8862606672231355
8,2.9003115163090682
9,2.903089550344501
10,2.925107114164534
11,2.9562333688325735
12,2.90195063880073
13,2.928825791894221
14,2.975286120930635
15,2.9015669896125535
16,2.8940848661878333
17,2.920120298070793
18,2.9608387185838883
19,2.932131795585621
20,2.8809809389380496
21,2.91267788963263
22,2.8956726644043513
23,2.9189911126972246
24,2.928136337398673
25,2.8600174839157333
26,2.967029656246236
27,2.924811891433162
28,2.951517894267363
29,2.8617168689561328
30,2.8483261005828
31,2.9141240982058902
32,2.8940113958975235
33,2.9174762465052586
34,2.899215539715744
35,2.999402531433398
36,2.960443137602702
37,2.9145160023081917
38,2.8652109230215075
39,2.930232813417535
40,2.897929286800657
41,2.9058702062770587
42,2.9181648161465157
43,2.9208431240195214
44,2.892036410689105
45,2.874555380477412
46,2.8966989621931036
47,2.964858283998695
48,2.967033840656476
49,2.882831907168498
50,2.948426005086012
51,2.8890893160316105
52,2.9287536134713577
53,2.8994469640332006
54,2.931034124480303
55,2.8448207015559186
56,2.9087382479594974
57,2.9110389149491187
58,2.8871638400261226
59,2.8772985878052264
60,2.9399281824849695
61,2.8848820630187184
62,2.9299609795033583
63,2.912707609823702
64,2.8953475947090777
65,2.8912121284548755
66,2.8674501354648783
67,2.9423534472841535
68,2.9087853918958153
69,2.9030588249716187
70,2.9019224725499013
71,2.853079673567363
72,2.9010530436710136
73,2.8985336711298224
74,2.9342622952701163
75,2.8912567439848393
76,2.955129587500366
77,2.9360208107021535
78,2.868598171076294
79,2.9404802901310876
80,2.940231614217078
81,2.9011649486577804
82,2.9281322591492414
83,2.9383083610828544
84,2.9207927169765844
85,2.899873422901859
86,2.906340122950908
87,2.8823717231798125
88,2.9310043852376344
89,2.936319522700397
90,2.8962413938863305
91,2.945110296482929
92,2.958825951917813
93,2.8765914779558877
94,2.973392131525185
95,2.889803701710276
96,2.925918772368884
97,2.8971081318769625
98,2.880978456710359
99,2.894829929604784
