Episode,Reward
0,11.824454473017516
1,11.963194243282157
2,11.860850886298456
3,12.030660366608638
4,12.22373259285077
5,12.12164664015986
6,12.008713022727227
7,11.864554113554627
8,12.276880581839311
9,11.970786213001304
10,11.994850339309561
11,11.998266433423986
12,11.856757133875789
13,12.194561503366847
14,12.040561934063998
15,12.119728870151887
16,11.87716912120233
17,11.98328044567023
18,12.084887953912132
19,12.089528412995413
20,12.022148820270303
21,12.023139247001197
22,12.025169667264217
23,11.96902090096961
24,11.997416966236159
25,12.12663192621219
26,11.96772792203429
27,12.097770254061244
28,12.200414956107517
29,12.11244301969972
30,12.20251902177969
31,12.277219458927151
32,12.234138323073017
33,11.999359175188257
34,12.092071682889749
35,12.080626093373208
36,12.070635115209635
37,12.131512524706608
38,11.999994724195167
39,12.246771078537552
40,12.037596580617723
41,12.153508335642288
42,12.21136543805832
43,12.132274253610753
44,12.044348012725822
45,12.073541447946885
46,12.004634100346077
47,12.255758472350951
48,12.073486124468987
49,12.037889948363784
50,12.04820754385154
51,12.26237573561834
52,12.201961825198692
53,12.128500658736623
54,12.093366076981006
55,12.017239147166284
56,12.169734978112754
57,12.119526847747803
58,12.047183210987553
59,12.050251267567544
60,12.190579227441292
61,11.927330822272419
62,11.992881165506365
63,11.867752561100074
64,12.111324159231641
65,12.176461006710525
66,12.10264684368715
67,12.13260608269027
68,11.996148087353545
69,12.115194789286267
70,12.108383359669332
71,12.045262903446048
72,11.968985322236868
73,12.28302832838787
74,12.081423883058271
75,12.228266727453283
76,12.030268058007662
77,12.008475868282883
78,12.059813979009508
79,12.144371214745474
80,12.197418015072078
81,12.091920820151817
82,12.14940161273904
83,12.249538895699999
84,12.030183572556862
85,11.997675382807111
86,12.08802502709337
87,12.256736830684627
88,11.978849230526636
89,11.841744356047629
90,12.234804954825892
91,11.967408827737636
92,11.96676484045164
93,12.109837813796448
94,12.148590162899467
95,12.182834527331602
96,12.063877156127353
97,12.01995294285147
98,12.025521014648517
99,11.989613901525468
