Episode,Reward
0,12.403518849129096
1,12.110959368248265
2,12.684125898674807
3,12.132063997583952
4,12.279715244824283
5,12.781871506309635
6,12.094603900511112
7,11.975064037459763
8,12.023920667019343
9,12.266049321056258
10,12.134791034840347
11,12.07332117055126
12,12.301255183316362
13,12.776813169200326
14,12.047701412737785
15,12.00379804650284
16,12.028280565449759
17,12.845471384577813
18,12.00319534076472
19,11.902733293338917
20,12.148559933236479
21,12.131204257132755
22,12.050586567341501
23,12.879124408155867
24,12.20761476886869
25,12.068672524562675
26,12.844654693378068
27,12.228036610383626
28,11.97463113850998
29,12.147412423892108
30,12.112294874443567
31,12.114787562772442
32,12.810933365245486
33,11.960888720298275
34,12.273625895319183
35,12.071876820465512
36,12.151235287193387
37,12.834133583858094
38,12.083191609123654
39,12.86650652452621
40,12.114219472476156
41,12.810951221876014
42,12.145359936487695
43,12.387548783565714
44,12.776495538564971
45,12.081595997741736
46,12.825032603514664
47,12.846483032957826
48,11.983284675908813
49,12.104244843624732
50,12.279299956656327
51,12.872414928942774
52,12.001809173738645
53,12.934487482361703
54,12.127771905314965
55,12.155465451571779
56,12.066333133259153
57,12.06623840188202
58,12.853102170061014
59,12.095067384394806
60,12.811005079474878
61,12.22962817620058
62,12.157807631133231
63,12.888632440828564
64,12.145846977180923
65,12.121733338811577
66,12.182807958413434
67,12.225799648239759
68,12.13837802796816
69,12.15354872121728
70,12.247846578306167
71,12.893215023424375
72,12.817278671947937
73,12.919499453188527
74,12.07430986799828
75,12.263025020648746
76,12.841293472209372
77,12.111024678382904
78,12.754840889366715
79,12.1443678884212
80,12.324242484669034
81,12.208347882783958
82,12.183663687774043
83,12.146021330020933
84,12.924881120657725
85,12.149236350231371
86,12.261164026025627
87,12.049398022955378
88,12.228540427047028
89,11.983919235178853
90,12.064592580288881
91,12.817555472782464
92,12.062505971266068
93,12.279290611668245
94,12.880149727392737
95,12.311523030481078
96,12.138981976905916
97,12.09401414936287
98,12.07891624717884
99,12.043063400525341
