Episode,Reward
0,11.509203362012805
1,11.885577472560097
2,11.79081923764188
3,12.100280145656825
4,11.717554072867273
5,12.034689494027154
6,11.982526705409782
7,11.95714470204128
8,11.887310811454654
9,12.266930899979812
10,11.84859043638232
11,11.897853062791768
12,11.846162480154003
13,11.995013810853589
14,12.01603168172866
15,11.943666412347289
16,12.019905923485151
17,12.00607767055664
18,12.008891350988083
19,12.028024503042612
20,12.10870876503804
21,11.861614278082534
22,12.120963804820818
23,11.946260315230687
24,12.011614947293367
25,11.894471798374143
26,12.233144134788024
27,11.939495483215982
28,12.055110143830854
29,11.909764597673336
30,11.864243454618315
31,11.976364122094681
32,11.992511766035905
33,11.874921609331292
34,11.914166466946128
35,12.139927807962202
36,12.027385425527624
37,11.91970643471441
38,11.960762107874782
39,12.160023706087742
40,11.949740871175118
41,11.966027629517443
42,11.951333204258802
43,12.037699355821907
44,12.090566467881562
45,11.891294309094341
46,11.813872906696394
47,11.866939774648213
48,12.077704207555769
49,12.224591778712606
50,11.929458535769273
51,12.020764713277767
52,11.917157249120578
53,11.974727916334022
54,12.026721913747432
55,11.935100570274018
56,11.951549763220598
57,11.967903079858646
58,12.025756385086297
59,12.011430687984934
60,11.957163580214566
61,12.056429206359963
62,12.008453757085977
63,11.907679127869429
64,11.943402365516596
65,12.012114623985513
66,12.208841550003537
67,11.980847296980857
68,11.855684311370615
69,11.910234231427822
70,12.114744503108279
71,12.024370846897797
72,12.12772793684255
73,12.051323908616332
74,12.026552265281012
75,11.847199405039742
76,11.950030877383247
77,12.122193503882137
78,11.915715905859912
79,11.832186766556442
80,12.049076003702709
81,12.078250636553127
82,12.061906586135118
83,11.936629744392507
84,12.07678470256734
85,12.05306186889682
86,11.923027846871697
87,12.001777690422166
88,12.003885266855836
89,12.100525111478756
90,12.09716646848359
91,12.089559570673442
92,11.865620343554719
93,12.068635943287457
94,11.922633499077373
95,11.833901283410931
96,12.263359513913477
97,12.055524268310446
98,11.99816031428357
99,12.184181781885782
