Episode,average_time,average_energy,average_time_local,average_energy_local,average_time_edge,average_energy_edge,average_time_random,average_energy_random
0,0.2867109914538488,0.08794038211477098,0.02120260627111345,0.13345683725253188,0.35767590263061666,0.07408779971192933,0.2835282355965484,0.09132555516396404
1,0.1766556153827009,0.09522194492039361,0.015261212605797964,0.12539722133952644,0.21499841522424148,0.10527695327343513,0.17313396505316328,0.11077892112076683
2,0.28935794218567507,0.08869017647744418,0.020220523952233997,0.13277522849181334,0.3648171143322376,0.07388899347548483,0.2887014182423423,0.09072170685032906
3,0.2866672701016841,0.08719100295909063,0.021291941373300458,0.13194986226392152,0.3449467287392394,0.07247151327926885,0.26776992072910877,0.08822232813168943
4,0.1774127700769926,0.09473403582442261,0.015454014804130464,0.1283701178791917,0.21783408304647747,0.10545058762279316,0.16518441770736356,0.11013586012272901
5,0.2999892540508404,0.08865256858839228,0.02149769371483212,0.12895225345844455,0.3677936052987111,0.07686237394416859,0.2872246298987158,0.092586620806515
6,0.179812076053333,0.09575516997213263,0.01589634561090658,0.13272086079694234,0.2165614879533503,0.1062944542117655,0.1682639381856699,0.11111565784905031
7,0.2967827206726289,0.08931024613250231,0.02140382257657043,0.1311519172405694,0.36617692271592855,0.07636273206732802,0.2698146022916139,0.08742411249788498
8,0.1295968987780456,0.08395558854028747,0.020518082449051126,0.13145165627061736,0.3433590729063697,0.07087642801410224,0.26763403271821207,0.08861412567584884
9,0.2828959830243858,0.08475251474465782,0.02047925208165617,0.12886069442824266,0.3402066103202637,0.07032549995254969,0.25441716776559303,0.08681182246928396
10,0.2922240029467993,0.08894770449808602,0.021101363517619882,0.13387710825811844,0.3548380185601095,0.07320167889644558,0.26570438889621606,0.08782589806742033
11,0.2873998190407931,0.0865720777981498,0.020713905066261605,0.1292425330355204,0.3385085577200458,0.07078815597565324,0.25430863525395786,0.08239343135314366
12,0.16333811332917672,0.08933548050408605,0.015409968135260282,0.12973678838128988,0.18561795857442256,0.09730804390259948,0.14524021310691035,0.1072506047866073
13,0.16925185295919712,0.09435246752533827,0.016224159634816333,0.1362184870581491,0.1995894641775196,0.10251379617966405,0.1502441706864418,0.1098606385948103
14,0.12700656856032597,0.0892546087331537,0.02167922271890919,0.13192723921818025,0.3253489698675841,0.06962768263697017,0.2512660142904062,0.08405469742907828
15,0.32377198010306935,0.09677838591421255,0.021918743994047675,0.13478839109232715,0.40462084457072844,0.08311503160025159,0.3078966051335245,0.094585137921516
16,0.17087836950988872,0.09816956063129834,0.01599170789161388,0.1304072081285304,0.2146606658911837,0.10921224462295034,0.16200429774295314,0.11296013989070972
17,0.2728715112720406,0.0859693159789327,0.021756362490009507,0.13356114610127456,0.34296269182973466,0.07251338771872166,0.27173713640204594,0.0899970722079831
18,0.2709649418617815,0.08664203567361754,0.02141341163910809,0.13184498232555483,0.3333795986508906,0.0705245110576284,0.24553421868722092,0.08384762576362742
19,0.2756620934796669,0.08647127000579356,0.02102979166644621,0.12913705391706526,0.3459379946068567,0.07215807045656948,0.26744850244491625,0.08798296419145028
20,0.30131500475894274,0.08761375389650962,0.020495576627791195,0.1311804611810966,0.36068044928980797,0.07379687798729402,0.264599420330111,0.0877372230778091
21,0.30872147301187336,0.09220872162153644,0.021711482283256527,0.13117306678756174,0.369373030774053,0.07689303360116241,0.2710701316427656,0.08948066668627545
22,0.2816707964829819,0.08705926037106648,0.02124136025426633,0.13170409334357536,0.36284467746262544,0.07487178299878745,0.2803598212854237,0.08966635941364949
23,0.16735329060183257,0.09379826408728367,0.015625759535445094,0.12916179305314368,0.20375909308522747,0.10416264304398787,0.1553194672455955,0.10954953984169952
24,0.26915250216466324,0.08491725576422593,0.021854895317891927,0.1316989491049103,0.338286735381634,0.07194977116922054,0.26828810163976324,0.08965472091492947
25,0.2737371379399927,0.08606210487229544,0.02108057370955533,0.12963998648880978,0.34040063004108106,0.07145111626368668,0.24850648589710708,0.08345177945270224
26,0.3053002340312951,0.09265133432970996,0.02183052740292589,0.13509785624235882,0.37937683223011553,0.07878488974013034,0.28492958283898895,0.09307537595271494
27,0.3005033545645764,0.08873630674710775,0.02043586714495652,0.1328635055205487,0.36257141988995756,0.07352829742754949,0.27324122415278446,0.08896802646332302
28,0.26488109855106723,0.08222413324983077,0.020580320040686023,0.1311896752459655,0.34438138256970563,0.07106466074244033,0.27310390534602696,0.08797505663209003
29,0.13681925687516514,0.08723281456835516,0.020807839082489323,0.12999718828738333,0.34803631818707886,0.07197774633196338,0.26115572625340905,0.08643815577702782
30,0.3042898695464953,0.08962846902674056,0.020412210562588046,0.12987656326851307,0.37405724743822494,0.07591939268752489,0.2909035238730999,0.08962727089565309
31,0.29834976780296146,0.0904552278223358,0.021238688621790635,0.1350505463147233,0.35915707706372746,0.07402440108778875,0.26886166328424604,0.0891615574821792
