Episode,Reward
0,12.159668918567009
1,11.158951804587673
2,11.663245097613283
3,11.593911644611744
4,12.016906817616304
5,11.719836787116979
6,12.293197428431661
7,12.656384779967382
8,12.210517708646117
9,11.583800301507576
10,11.731009509659621
11,11.824932150222278
12,11.937773893607007
13,12.478279556628076
14,12.445511215753863
15,11.989763021934113
16,12.490795323112982
17,12.04374800617486
18,11.51504397996401
19,12.217155700421614
20,12.413223824329174
21,12.074637480996731
22,12.179491586699953
23,12.512789473754145
24,12.162265774031644
25,12.42639737638324
26,12.526852530671324
27,12.230024026574664
28,11.671497728737735
29,11.748508210090126
30,11.875265668047417
31,12.473664480052479
32,11.634120876636167
33,12.494115745176265
34,11.69598076833644
35,12.52958126039041
36,12.011566231632019
37,11.654628049539472
38,12.485654884212174
39,12.542270846851846
40,11.601784234641185
41,12.592608281803065
42,11.465250846723233
43,12.534550585680776
44,11.737489894166385
45,11.951228388011408
46,12.501119057984841
47,12.07482411452521
48,11.717849030753756
49,12.509465080027494
50,11.874053041868459
51,11.904387818973001
52,12.138917073101485
53,11.827633109663722
54,12.227985511981021
55,11.7541063604552
56,11.924551822924025
57,12.563567493813487
58,12.109791155614449
59,12.1267874588465
60,11.73316176628137
61,12.546131620066062
62,12.387252809113596
63,11.796932504510666
64,11.981990251820193
65,12.6025681277815
66,11.777393188755928
67,11.747728426484699
68,12.68213454323833
69,12.681950065406602
70,12.519657044785864
71,12.61028930114498
72,12.21593596626373
73,12.680439102063827
74,12.482083468090446
75,12.620249313845214
76,12.204467550861736
77,12.061724011023138
78,11.82853366451124
79,11.94478457545412
80,11.930755715206129
81,11.804666134438245
82,12.618874851293628
83,12.67367285996
84,11.885935725516342
85,12.15241334141176
86,12.17329404057705
87,12.574023181191395
88,12.480868480163888
89,12.640752379072435
90,11.752810837449754
91,12.472143712078104
92,12.6198404966325
93,12.476730243517883
94,11.701386181582862
95,12.467917276756328
96,12.20181375764641
97,11.739371071399393
98,12.523416857090135
99,12.394122193886139
