Episode,Reward
0,11.44210416281231
1,11.802439124799399
2,11.700825585626157
3,11.717131120988943
4,11.748538686961908
5,11.561452276151645
6,11.897566597920308
7,11.694700869351315
8,11.853368770625984
9,11.960101878393834
10,11.826947335477147
11,11.782175266159763
12,11.746355703077572
13,12.027884449144603
14,11.874476761972568
15,11.900344878615087
16,11.834567085525542
17,12.061828862196977
18,11.850327611510302
19,11.741815924951908
20,11.951562586606462
21,12.158901207348581
22,11.983124721025698
23,11.759994110090597
24,11.73551275684739
25,12.040484030460156
26,11.8867739956766
27,11.79984916862066
28,11.615686452741793
29,11.760418429463861
30,11.738410401422271
31,11.745056783738626
32,11.854025364418773
33,11.696048613042084
34,11.72356505832893
35,12.084510697824165
36,11.952398818821331
37,11.860785072770573
38,11.973176026859976
39,12.110278524492324
40,12.008088492766925
41,11.942356812993841
42,12.128999358201366
43,11.654270490681204
44,11.850406977928046
45,11.983377748002287
46,12.16474405925832
47,11.822818730807525
48,12.067365095201117
49,12.042186458396367
50,11.983127696854593
51,11.81199147158595
52,11.870312526783986
53,11.98272316967664
54,11.821837234756922
55,12.143341067384343
56,11.694960116629792
57,11.900301887791354
58,11.800354252184826
59,11.790951756799672
60,11.97942042567556
61,12.092770458395972
62,11.945167190798397
63,12.05252858392858
64,11.958934764834721
65,11.835164871078462
66,11.940575103095597
67,12.059653171462001
68,11.983759333847523
69,11.817723943914585
70,11.996995926545019
71,11.94939490260398
72,11.905850554552975
73,11.9336611796478
74,11.913187426089339
75,12.072892176661332
76,11.869815744594346
77,11.694681959617537
78,11.804657824182685
79,11.724512733016978
80,11.751422121215061
81,11.671911717012854
82,11.769207835156905
83,11.660843672282587
84,12.103911495284729
85,11.958234429269954
86,11.836816854222945
87,11.83990650616262
88,12.0204602205128
89,11.909981492749617
90,11.845502724629306
91,12.212621508043323
92,12.034598696561888
93,11.963056802727191
94,12.101098803206401
95,12.081684472495454
96,12.050068315860356
97,11.90442503150609
98,12.078571088853826
99,12.022829031337338
