Episode,Reward
0,12.468156830009512
1,12.549341563842233
2,12.616246963950104
3,12.551670070313037
4,12.552396959736873
5,12.510295577277121
6,12.516197335469311
7,12.536485957445526
8,12.506537859770651
9,12.536875660452068
10,12.5596212777421
11,12.520287408802613
12,12.504178886219304
13,12.585386532175491
14,12.545671650158422
15,12.59036576333097
16,12.532568865027162
17,12.602138836236636
18,12.490336225034287
19,12.570200402318594
20,12.560677306043758
21,12.495620265116136
22,12.594790945201073
23,12.456051804983442
24,12.473096045817627
25,12.486544160400422
26,12.656012709621521
27,12.52007053940669
28,12.57522405975631
29,12.59171692496047
30,12.540646320968797
31,12.528426400703957
32,12.617587844503094
33,12.572031992369755
34,12.527412863327466
35,12.52942254446318
36,12.576933369851597
37,12.503293021541456
38,12.544933474337038
39,12.551716972031777
40,12.506455495612867
41,12.584063081548882
42,12.579025510154908
43,12.54285589885654
44,12.554608502572359
45,12.589825078577329
46,12.49656117043142
47,12.600354593550339
48,12.61300310431848
49,12.58166801457493
50,12.588230325220358
51,12.560135263602866
52,12.59695138259195
53,12.55852532749589
54,12.551806529624669
55,12.512236199609955
56,12.50773247594404
57,12.585431384624322
58,12.562896609795821
59,12.520380314711822
60,12.425525120563531
61,12.588176888458985
62,12.46174608220514
63,12.60984177559139
64,12.505035940099278
65,12.586697513420216
66,12.475499394098584
67,12.614337844017427
68,12.474648019003833
69,12.475175972361155
70,12.456811809539674
71,12.59405055650241
72,12.648293724956588
73,12.60920092669825
74,12.541851362986085
75,12.505821475597852
76,12.554379522523696
77,12.620805882137834
78,12.502681298704228
79,12.580691987144705
80,12.597074038057926
81,12.521637950686118
82,12.543436879284897
83,12.565085913574478
84,12.627728889904484
85,12.496845831775703
86,12.494545071651693
87,12.497441289754736
88,12.571235964968642
89,12.550654729258628
90,12.587983701758203
91,12.587349446036521
92,12.55258558027295
93,12.499553366135604
94,12.517901739779363
95,12.487272565390198
96,12.534569102994983
97,12.539913160682895
98,12.566632941785974
99,12.533720370896642
