Episode,Reward
0,11.406093418984364
1,11.65107294247602
2,11.887262255791125
3,11.475779817383135
4,11.814541891740694
5,11.751835150701414
6,11.823457648048157
7,11.906449486793415
8,11.979330891099037
9,11.95737231566445
10,11.722229327558818
11,11.703253527603849
12,11.735144329367538
13,11.936160793441285
14,11.681972553135811
15,11.686352582267714
16,11.878748676938216
17,11.974746577185993
18,11.992661310772451
19,11.869075136744094
20,11.61660420361194
21,11.82728824570226
22,11.881636728152747
23,11.875858874503365
24,11.940115614263366
25,11.704182896983632
26,11.888972212489403
27,12.20612659041484
28,11.881383034748909
29,11.942870321413558
30,11.814954511988754
31,11.900620635954954
32,11.905167273958314
33,11.926324416276923
34,11.741856149639007
35,11.803915232927803
36,11.933968180555002
37,11.840078042387889
38,12.013935771167352
39,11.818398271746421
40,11.920792683021814
41,12.022494085638499
42,11.844726900511185
43,11.809203739752185
44,11.989268162997694
45,12.176525839076
46,11.800909645873006
47,11.919062957346705
48,11.78514218009667
49,11.644717843272087
50,11.726015167320675
51,11.765933966153362
52,11.634460186394172
53,11.759015396167584
54,11.935093357018937
55,11.68695693396707
56,12.000621669769627
57,11.763010621556294
58,12.163718737310347
59,11.966875557845604
60,12.00666193464312
61,12.172628147452684
62,11.870922944210797
63,11.739735553213404
64,11.847318819122446
65,11.808361712801455
66,11.8232543030411
67,11.744619160035215
68,11.915575462764739
69,12.108700463679433
70,11.881644702405092
71,12.247341171571247
72,11.943342036417905
73,11.879597360100497
74,11.757264704964177
75,11.981092445192553
76,11.771023244770621
77,11.701450397708095
78,11.94497003137858
79,12.22195636634189
80,11.76265277374759
81,11.767774195587041
82,11.886364257924564
83,11.96390284969371
84,11.723083975202835
85,11.849075835252522
86,12.154471737705249
87,11.742840734860428
88,11.832022522098944
89,12.007209443037786
90,11.7280204563347
91,11.774375064336088
92,12.08860511248708
93,11.719135865612984
94,11.957637408322736
95,11.616050760332735
96,11.803656492936428
97,11.864609834169793
98,11.772587129703833
99,11.86889395894181
